学校,备注
北京大学
清华大学
上海交通大学
复旦大学
浙江大学
国防科技大学
中国科学技术大学
中国人民大学
南京大学
北京航空航天大学
北京理工大学
哈尔滨工业大学
西安交通大学
南开大学
同济大学
武汉大学
华中科技大学
北京师范大学
东南大学
四川大学
华东师范大学
电子科技大学
中山大学
天津大学
厦门大学
华南理工大学
西北工业大学
山东大学
中南大学
吉林大学
兰州大学
大连理工大学
上海科技大学
南方科技大学
西湖大学
中国科学院
昆山杜克大学,（限大三以上理工科）
港中文
港科大
重庆大学,（限大三以上理工科）
中央民族大学,（限大三以上理工科）
湖南大学,（限大三以上理工科）
东北大学,（限大三以上理工科）
上海纽约大学,（限大三以上理工科）
西交利物浦,（限大三以上理工科）
宁波诺丁汉大学,（限大三以上理工科）
北理莫斯科大学,（限大三以上理工科）
广东以色列理工学院（限大三以上理工科）,（限大三以上理工科）
港中深（限大三以上理工科）,（限大三以上理工科）
深圳大学,驳回
